"id","state_id:id","name"
mm_07_hinthada,state_mm_07,"Hinthada"
mm_07_labutta,state_mm_07,"Labutta"
mm_07_ma_ubin,state_mm_07,"Ma-ubin"
mm_07_myaungmya,state_mm_07,"Myaungmya"
mm_07_pathein,state_mm_07,"Pathein"
mm_07_pyapon,state_mm_07,"Pyapon"
mm_07_kyonpyaw,state_mm_07,"Kyonpyaw"
mm_07_myanaung,state_mm_07,"Myanaung"
mm_02_bago,state_mm_02,"Bago"
mm_02_taungoo,state_mm_02,"Taungoo"
mm_02_pyay,state_mm_02,"Pyay"
mm_02_tharrawaddy,state_mm_02,"Tharrawaddy"
state_mm_14_falam,state_mm_14,"Falam"
state_mm_14_hakha,state_mm_14,"Hakha"
state_mm_14_matupi,state_mm_14,"Matupi"
state_mm_14_mindat,state_mm_14,"Mindat"
state_mm_11_bhamo,state_mm_11,"Bhamo"
state_mm_11_mohnyin,state_mm_11,"Mohnyin"
state_mm_11_myitkyina,state_mm_11,"Myitkyina"
state_mm_11_putao,state_mm_11,"Putao"
state_mm_12_bawlakhe,state_mm_12,"Bawlakhe"
state_mm_12_loikaw,state_mm_12,"Loikaw"
state_mm_13_hpa_an,state_mm_13,"Hpa-an"
state_mm_13_hpapun,state_mm_13,"Hpapun"
state_mm_13_kawkareik,state_mm_13,"Kawkareik"
state_mm_13_myawaddy,state_mm_13,"Myawaddy"
state_mm_03_gangaw,state_mm_03,"Gangaw"
state_mm_03_magway,state_mm_03,"Magway"
state_mm_03_minbu,state_mm_03,"Minbu"
state_mm_03_pakokku,state_mm_03,"Pakokku"
state_mm_03_thayet,state_mm_03,"Thayet"
state_mm_04_kyaukse,state_mm_04,"Kyaukse"
state_mm_04_mandalay,state_mm_04,"Mandalay"
state_mm_04_meiktila,state_mm_04,"Meiktila"
state_mm_04_myingyan,state_mm_04,"Myingyan"
state_mm_04_nyaung_u,state_mm_04,"Nyaung-U"
state_mm_04_pyinoolwin,state_mm_04,"Pyinoolwin"
state_mm_04_yamethin,state_mm_04,"Yamethin"
state_mm_15_mawlamyine,state_mm_15,"Mawlamyine"
state_mm_15_thaton,state_mm_15,"Thaton"
state_mm_16_kyaukpyu,state_mm_16,"Kyaukpyu"
state_mm_16_maungdaw,state_mm_16,"Maungdaw"
state_mm_16_sittwe,state_mm_16,"Sittwe"
state_mm_16_thandwe,state_mm_16,"Thandwe"
state_mm_16_mrauk_u,state_mm_16,"Mrauk-U"
state_mm_17_kengtung,state_mm_17,"Kengtung"
state_mm_17_monghpayak,state_mm_17,"Mong Hpayak"
state_mm_17_monghsat,state_mm_17,"Mong Hsat"
state_mm_17_tachileik,state_mm_17,"Tachileik"
state_mm_17_kunlong,state_mm_17,"Kunlong"
state_mm_17_kyaukme,state_mm_17,"Kyaukme"
state_mm_17_lashio,state_mm_17,"Lashio"
state_mm_17_laukkaing,state_mm_17,"Laukkaing"
state_mm_17_muse,state_mm_17,"Mu Se"
state_mm_17_hopang,state_mm_17,"Hopang"
state_mm_17_matman,state_mm_17,"Matman"
state_mm_17_mongmit,state_mm_17,"Mongmit"
state_mm_17_kokang_self_administered_zone,state_mm_17,"Kokang Self-Administered Zone"
state_mm_17_palaung_self_administered_zone,state_mm_17,"Pa Laung Self-Administered Zone"
state_mm_17_wa_self_administered_division,state_mm_17,"Wa Self-Administered Division"
state_mm_17_langkho,state_mm_17,"Langkho"
state_mm_17_loilen,state_mm_17,"Loilen"
state_mm_17_taunggyi,state_mm_17,"Taunggyi"
state_mm_17_danu_self_administered_zone,state_mm_17,"Danu Self-Administered Zone"
state_mm_17_pa_o_self_administered_zone,state_mm_17,"Pa-O Self-Administered Zone"
state_mm_01_hkamti,state_mm_01,"Hkamti"
state_mm_01_kanbalu,state_mm_01,"Kanbalu"
state_mm_01_kale,state_mm_01,"Kale"
state_mm_01_katha,state_mm_01,"Katha"
state_mm_01_mawlaik,state_mm_01,"Mawlaik"
state_mm_01_monywa,state_mm_01,"Monywa"
state_mm_01_sagaing,state_mm_01,"Sagaing"
state_mm_01_shwebo,state_mm_01,"Shwebo"
state_mm_01_tamu,state_mm_01,"Tamu"
state_mm_01_yinmabin,state_mm_01,"Yinmabin"
state_mm_01_naga_self_administered_zone,state_mm_01,"Naga Self-Administered Zone"
state_mm_05_dawei,state_mm_05,"Dawei"
state_mm_05_kawthaung,state_mm_05,"Kawthaung"
state_mm_05_myeik,state_mm_05,"Myeik"
state_mm_06_yangon,state_mm_06,"Yangon"
state_mm_18_ottara,state_mm_18,"Ottara"
state_mm_18_dekkhina,state_mm_18,"Dekkhina"